Date Spotted,Competitor,Platform,Ad Format,Copy Angle,Headline / Primary Text,Description / Body Copy,Visual Style,CTA,Ad Library Link,Video Link,Notes / Observations,Still Active,First Seen
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,"Learn how to create impactful pitch decks, proposals, sales reports, marketing materials, and presentations that stand o…",Turn Presentations & Reports into Engaging Visuals with Canva | Limited Slots Only,Static image,,https://www.linkedin.com/ad-library/detail/1406957586?trk=ad_library_ad_preview_content_image,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,"Most professionals want to create polished presentations, but lack the design skills to do it well.","Request Corporate Training Brochure and Consultation Today | Claim up to $10,000 SkillsFuture Enterprise Credits",Static image,,https://www.linkedin.com/ad-library/detail/1419237846?trk=ad_library_ad_preview_content_image,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,"Hey %FIRSTNAME%,Thanks for checking out Hustle. Most people assume peer-to-peer texting is complicated to roll out until they see it live.Hustle teams can segment audiences, personalize messaging, and launch outreach fast (without it feeling like a generic blast).If you want to see how it works end-to-end, I can show you the platform in a quick demo and share real examples from teams like yours.",Heather Sheldon,Static image,,https://www.linkedin.com/ad-library/detail/1313889974,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,Blasts don’t build relationships. Conversations do.,The Outreach Channel People Actually Answer,Static image,,https://www.linkedin.com/ad-library/detail/1296882574,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,"If your team is already running lean, scaling outreach shouldn’t mean scaling hours. Broadcast messaging lets you send o…",Hustle. The better way to scale outreach.,Static image,,https://www.linkedin.com/ad-library/detail/1296208004,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,"Build a Team That Thinks, Designs, and Executes Better",What if your team could:,Static image,,https://www.linkedin.com/ad-library/detail/1403490806?trk=ad_library_ad_preview_content_image,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,"Hey %FIRSTNAME%,Quick question: do you have a truly scalable (without sacrificing personalization) messaging channel in your outreach stack today?A lot of teams have email, ads, and automation…but no channel that consistently drives real replies. Hustle fills that gap with peer-to-peer texting and personalized video messaging that feels human (because it is).If you want to see how Hustle plugs into your workflow, I can run you through a quick demo.",Heather Sheldon,Static image,,https://www.linkedin.com/ad-library/detail/1313100444,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,Humans Of Hustle presents #OffTheCuff ❤️🔥,Off The Cuff by Humans Of Hustle ft. Umair Mohammad,Static image,,https://www.linkedin.com/ad-library/detail/1426273576,,Total active: 369,Yes,2026-06-22
2026-06-22,The Hustle,LinkedIn,Single Image Ad,,"Turn your team into high-performing, execution-driven professionals.","In this corprorate program, you’ll discover:",Static image,,https://www.linkedin.com/ad-library/detail/1403392536?trk=ad_library_ad_preview_content_image,,Total active: 369,Yes,2026-06-22
2026-06-22,Hacker News,LinkedIn,Single Image Ad,,Clicks (YC F25) automates repetitive back-office work for recruiting and executive search firms.,Recruiters waste 30-40…,Static image,,https://www.linkedin.com/ad-library/detail/921277746,,Total active: 4,Yes,2026-06-22
2026-06-22,Hacker News,LinkedIn,Single Image Ad,,We're hosting an event for CFOs and Finance Teams in San Francisco.,Some of the top YC startups will explain how their …,Static image,,https://www.linkedin.com/ad-library/detail/908694546?trk=ad_library_ad_preview_content_image,,Total active: 4,Yes,2026-06-22
2026-06-22,Hacker News,LinkedIn,Single Image Ad,,AI is changing how sales teams work. Join us for an evening with the leaders and startups at the frontier.,> Hear how t…,Static image,,https://www.linkedin.com/ad-library/detail/1392320236?trk=ad_library_ad_preview_content_image,,Total active: 4,Yes,2026-06-22
2026-06-22,Hacker News,LinkedIn,Single Image Ad,,Nexus (YC F25) helps non-technical teams build production-ready AI agents without code.,95% of enterprise AI projects f…,Static image,,https://www.linkedin.com/ad-library/detail/923769506,,Total active: 4,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta Advantage+ Suite helps automate campaign optimisation - so your team can spend less time running in circles, and mo…",Stop mistaking constant motion for real performance progress,Static image,,https://www.linkedin.com/ad-library/detail/1314092864,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta AI creative tools help you test, refresh and optimise faster, so you can stop dropping performance and keep more id…",Managing creative shouldn’t feel like a juggling act,Static image,,https://www.linkedin.com/ad-library/detail/1311187874,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta AI-powered creative tools help accelerate creative testing and refresh cycles, so campaigns keep moving when perfor…",The best performing accounts don't just strap in for the ride,Static image,,https://www.linkedin.com/ad-library/detail/1309883384?trk=ad_library_ad_preview_content_image,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"VP, Marketing @Meta | 3X CMO l Board Director | 2025 Chicago Advertising Woman of the Year | 2025 Northwestern University Alumni Medalist |",Promoted by Meta for Business,Static image,,https://www.linkedin.com/ad-library/detail/1451608196,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta measurement tools help show what’s driving growth, so you can shift budget towards what works and stop hanging on f…",Managing ad spend shouldn’t feel like a rodeo.,Static image,,https://www.linkedin.com/ad-library/detail/1311587594,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta measurement tools give you the clarity to see exactly what's working - so you can flip the script, and back every b…",An upside down media strategy doesn't fix itself.,Static image,,https://www.linkedin.com/ad-library/detail/1311788134,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta measurement tools help show what’s working, so you can back every budget decision with proof and stop justifying sp…",Turn upside-down ad performance into clarity and control,Static image,,https://www.linkedin.com/ad-library/detail/1309283434?trk=ad_library_ad_preview_content_image,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,Esta es tu última oportunidad para ganar el trofeo y destacarte. Envía el mejor trabajo de tu agencia para los Meta Agen…,Envía tu trabajo y gana,Static image,,https://www.linkedin.com/ad-library/detail/1297688714,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta Advantage+ Suite helps automate campaign optimisation - so your team can spend less time running in circles, and mo…",Stop mistaking constant motion for real performance progress,Static image,,https://www.linkedin.com/ad-library/detail/1311587534,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,Last chance to claim the trophy and the spotlight. Submit your agency's best work for the Meta Agency Awards by August 1…,Submit to win,Static image,,https://www.linkedin.com/ad-library/detail/1408816056,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta AI creative tools help you test, refresh and optimise creative faster - so you can meet campaign demand without slo…",Managing creative shouldn’t feel like a juggling act,Static image,,https://www.linkedin.com/ad-library/detail/1309983264?trk=ad_library_ad_preview_content_image,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Meta Advantage+ helps optimise campaigns automatically - so you can spend less time managing every plate, and more time …",How long until the plates start to fall?,Static image,,https://www.linkedin.com/ad-library/detail/1308683334?trk=ad_library_ad_preview_content_image,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,Última oportunidade de ganhar o troféu e ficar em destaque. Envie o melhor trabalho da sua agência para o Meta Agency Aw…,Enviar para ganhar,Static image,,https://www.linkedin.com/ad-library/detail/1297388814,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,Last chance to claim the trophy and the spotlight. Submit your agency's best work for the Meta Agency Awards by August 1…,Submit to win,Static image,,https://www.linkedin.com/ad-library/detail/1409026456,,Total active: 593,Yes,2026-06-22
2026-06-22,Meta Ads,LinkedIn,Single Image Ad,,"Director | Head of Agency, NA at Meta",Promoted by Meta for Business,Static image,,https://www.linkedin.com/ad-library/detail/1469564616,,Total active: 593,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,"From scheduling timelines and site preparation to weather considerations and project execution, knowing what to expect c…",Planning a paving project this season?,Static image,,https://www.linkedin.com/ad-library/detail/1436547913?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,And collection success skyrocketed from 81.2% to 91.9%. Download to get the new approach.,How one lender cut ACH returns from 35% → 13%,Static image,,https://www.linkedin.com/ad-library/detail/1472118276?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,"Hiring for the hottest jobs on the market? You need the most up-to-date, defensible data. Pave’s free dataset has detail…",Free Salary Benchmarking Data,Static image,,https://www.linkedin.com/ad-library/detail/1471507766?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Heading to 𝗔𝗟𝗔 𝗔𝗻𝗻𝘂𝗮𝗹 𝟮𝟬𝟮𝟲?,Schedule Time With Us,Static image,,https://www.linkedin.com/ad-library/detail/1436605733?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,"Students, faculty, and visitors will soon be back on campus.",The Fall Semester Is Closer Than You Think,Static image,,https://www.linkedin.com/ad-library/detail/1436566523,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,PAVE Prevention is excited to be attending the 𝗔𝗟𝗔 𝗔𝗻𝗻𝘂𝗮𝗹 𝗖𝗼𝗻𝗳𝗲𝗿𝗲𝗻𝗰𝗲 & 𝗘𝘅𝗵𝗶𝗯𝗶𝘁𝗶𝗼𝗻 𝟮𝟬𝟮𝟲 …,,Static image,,https://www.linkedin.com/ad-library/detail/1436565553?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Sustained breaches of NACHA's threshold can cost you ACH access. See how one lender pulled returns from 35% to 13% witho…,A Must-Read for ACH Collectors,Static image,,https://www.linkedin.com/ad-library/detail/1472018566?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,"Whether you're managing a commercial property, industrial facility, or HOA, timing and preparation are critical to a suc…",Set Your Paving Project Up for Success,Static image,,https://www.linkedin.com/ad-library/detail/1436628553?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Small pavement issues have a way of becoming bigger budget items.,The Most Expensive Crack Is the One You Ignore,Static image,,https://www.linkedin.com/ad-library/detail/1436496663,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Many delays and unexpected costs can be avoided with proper planning and a clear understanding of the paving process.,How to Keep Your Paving Project on Schedule and Budget,Static image,,https://www.linkedin.com/ad-library/detail/1436628533?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Your parking lot is one of the first things people notice when they visit your property.,A Better Parking Lot Starts Here,Static image,,https://www.linkedin.com/ad-library/detail/1436436173,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Sustained breaches of NACHA's threshold can cost you ACH access. See how one lender pulled returns from 35% to 13% witho…,A Must-Read for ACH Collectors,Static image,,https://www.linkedin.com/ad-library/detail/1471978596?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Going to 𝗔𝗟𝗔 𝗔𝗻𝗻𝘂𝗮𝗹 𝟮𝟬𝟮𝟲?,✔ Schedule a 𝟯𝟬-𝗺𝗶𝗻𝘂𝘁𝗲 𝗺𝗲𝗲𝘁𝗶𝗻𝗴 with our team before the conference…,Static image,,https://www.linkedin.com/ad-library/detail/1436662333?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,"If you've been evaluating pavement repairs, now is the time to act.",Fix It Early. Avoid Costly Disruptions.,Static image,,https://www.linkedin.com/ad-library/detail/1436576263,,Total active: 981,Yes,2026-06-22
2026-06-22,Paved,LinkedIn,Single Image Ad,,Well-executed civil and pavement works start with proper planning. This checklist outlines key considerations builders a…,,Static image,,https://www.linkedin.com/ad-library/detail/1471890386?trk=ad_library_ad_preview_content_image,,Total active: 981,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,Creative Director at beehiiv,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427398973,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,"sr csm @ beehiiv | writer @ Curiously, Kate | video @ YouTube (1.6M views)",Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427479143,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,Building Infrastructure @ beehiiv,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427458423,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,chief of staff @ beehiiv,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427618983,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,Partner Program Lead @ beehiiv,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427628313,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,Controller @ beehiiv 🐝,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427458493,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,chief customer officer @ beehiiv,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427628323,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,"sr csm, ad network @ beehiiv 🐝",Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427660153,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,Chief Helper @beehiiv + Solutions Engineering Stuff,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427498483,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,cmo @ beehiiv | ex-Calendly,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427598643,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,something's cooking at beehiiv HQ 🔥,senior csm @ beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427651803,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,Entrepreneur | Host of Moneywise,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427660143,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,COO @ beehiiv || Forbes 100U100,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427479073,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,Head of Customer Support at beehiiv | Systems and Process Geek | People-Centric Leader,Promoted by beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427645043,,Total active: 409,Yes,2026-06-22
2026-06-22,Beehiiv,LinkedIn,Single Image Ad,,something's cooking at beehiiv HQ 🔥,senior csm @ beehiiv,Static image,,https://www.linkedin.com/ad-library/detail/1427479083,,Total active: 409,Yes,2026-06-22
2026-06-22,Morning Brew,Meta,Video,,​,Active Library ID: 1556454855540889,Video creative,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Morning%20Brew,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,The Hustle,Meta,Video,,​,Active Library ID: 1369207151360718,Video creative,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=The%20Hustle,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,Hacker News,Meta,Video,,​,Active Library ID: 4422309478093461,Video creative,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Y%20Combinator,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,Stratechery,Meta,Static (Image),,​,Active Library ID: 1196612409072684,Static image,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Stratechery,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,Bytes.dev,Meta,Static (Image),,​,Active Library ID: 1269740667959802,Static image,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Bytes.dev,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,LinkedIn Ads,Meta,Video,,​,Active Library ID: 1325408316365451,Video creative,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=LinkedIn,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,Meta Ads,Meta,Video,,​,Active Library ID: 1576835113754964,Video creative,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Meta%20for%20Business,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,Paved,Meta,Video,,​,Active Library ID: 1370816258401823,Video creative,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Paved,,Scraped via Playwright,Yes,2026-06-22
2026-06-22,Beehiiv,Meta,Video,,​,Active Library ID: 875398001479648,Video creative,,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=beehiiv,,Scraped via Playwright,Yes,2026-06-22
